1794	1979 Summer Quarter	1979-06-25	1979-08-31
1792	1979 Spring Quarter	1979-03-29	1979-06-15
1790	1979 Winter Quarter	1979-01-03	1979-03-19
1788	1978 Fall Quarter	1978-09-18	1978-12-08
1784	1978 Summer Quarter	1978-06-26	1978-08-25
1782	1978 Spring Quarter	1978-03-30	1978-06-16
1780	1978 Winter Quarter	1978-01-04	1978-03-22
1778	1977 Fall Quarter	1977-09-19	1977-12-09
1774	1977 Summer Quarter	1977-06-20	1977-08-26
1772	1977 Spring Quarter	1977-03-29	1977-06-11
1770	1977 Winter Quarter	1977-01-03	1977-03-17
1768	1976 Fall Quarter	1976-09-16	1976-12-04
1764	1976 Summer Quarter	1976-06-21	1976-08-27
1762	1976 Spring Quarter	1976-03-30	1976-06-12
1760	1976 Winter Quarter	1976-01-05	1976-03-19
1758	1975 Fall Quarter	1975-09-18	1975-12-09
1754	1975 Summer Quarter	1975-06-23	1975-08-29
1752	1975 Spring Quarter	1975-04-01	1975-06-14
1750	1975 Winter Quarter	1975-01-03	1975-03-19
1748	1974 Fall Quarter	1974-09-19	1974-12-10
1744	1974 Summer Quarter	1974-06-24	1974-08-30
1742	1974 Spring Quarter	1974-04-01	1974-06-15
1740	1974 Winter Quarter	1974-01-02	1974-03-19
1738	1973 Fall Quarter	1973-09-19	1973-12-08
1734	1973 Summer Quarter	1973-06-25	1973-08-31
1732	1973 Spring Quarter	1973-04-01	1973-06-18
1730	1973 Winter Quarter	1973-01-02	1973-03-21
1728	1972 Fall Quarter	1972-09-20	1972-12-09
1724	1972 Summer Quarter	1972-06-26	1972-08-25
1722	1972 Spring Quarter	1972-04-03	1972-06-17
1720	1972 Winter Quarter	1972-01-03	1972-03-18
1718	1971 Fall Quarter	1971-09-25	1971-12-18
1714	1971 Summer Quarter	1971-06-21	1971-08-27
1712	1971 Spring Quarter	1971-03-29	1971-06-15
1710	1971 Winter Quarter	1971-01-04	1971-03-20
1708	1970 Fall Quarter	1970-09-28	1970-12-19
1704	1970 Summer Quarter	1970-06-29	1970-08-28
1702	1970 Spring Quarter	1970-03-31	1970-06-16
1700	1970 Winter Quarter	1970-01-05	1970-03-24
1698	1969 Fall Quarter	1969-09-29	1969-12-20
1694	1969 Summer Quarter	1969-06-23	1969-08-29
1692	1969 Spring Quarter	1969-03-31	1969-06-14
1690	1969 Winter Quarter	1969-01-02	1969-03-22
1688	1968 Fall Quarter	1968-09-23	1968-12-14
1684	1968 Summer Quarter	1968-06-24	1968-08-30
1682	1968 Spring Quarter	1968-03-25	1968-06-13
1680	1968 Winter Quarter	1968-01-02	1968-03-09
1678	1967 Fall Quarter	1967-09-25	1967-12-16
1674	1967 Summer Quarter	1967-06-26	1967-08-25
1672	1967 Spring Quarter	1967-03-27	1967-06-13
1670	1967 Winter Quarter	1967-01-03	1967-03-18
1668	1966 Fall Quarter	1966-09-26	1966-12-17
1662	1966 Spring Quarter	1966-04-01	1966-06-22
1660	1966 Winter Quarter	1966-01-03	1966-03-26
1658	1965 Fall Quarter	1965-09-27	1965-12-18
1000	Conversion Term	1900-01-01	1900-01-01
